italian,function
a,preposizione
abbastanza,avverbio
abbonamento,sostantivo
abbracciare,verbo transitivo
abbraccio,sostantivo
abitante,sostantivo
abitare,verbo intransitivo
accanto,avverbio
accendere,verbo transitivo
accendino,sostantivo
accento,sostantivo
accomodarsi,verbo intransitivo pronominale
accompagnare,verbo transitivo
acconto,sostantivo
accordo,sostantivo
aceto,sostantivo
acido,aggettivo
acqua,sostantivo
acquistare,verbo transitivo
addio,interiezione
addormentarsi,verbo intransitivo pronominale
adesso,avverbio
adulto/a,aggettivo - sostantivo
aereo(aeroplano),sostantivo
aeroporto,sostantivo
affetto,sostantivo
affettuoso,aggettivo
affittare,verbo transitivo
affitto,sostantivo
agenzia,sostantivo
aggiungere,verbo transitivo
aggiustare,verbo transitivo
aglio,sostantivo
agosto,sostantivo
aiutare,verbo transitivo
aiuto,interiezione - sostantivo
alba,sostantivo
albergo,sostantivo
albero,sostantivo
alcuno,aggettivo
alfabeto,sostantivo
alimentari,sostantivo plurale
allegro,aggettivo
allergico,aggettivo
alloggio,sostantivo
allora,avverbio
almeno,avverbio
alto,aggettivo
altro,pronome - aggettivo
alzarsi,verbo riflessivo
amare,verbo transitivo
amaro,aggettivo
ambasciata,sostantivo
ambulanza,sostantivo
ambulatorio,sostantivo
amicizia,sostantivo
amico/a,sostantivo
ammalarsi,verbo intransitivo pronominale
ammobiliato,aggettivo
amore,sostantivo
analisi,sostantivo
anche,congiunzione
ancora,avverbio
andare,verbo intransitivo
anello,sostantivo
angolo,sostantivo
animale,sostantivo
anno,sostantivo
annoiarsi,verbo intransitivo pronominale
annuncio,sostantivo
ansia,sostantivo
ansioso,aggettivo
anticipo,sostantivo
antico,aggettivo
antipasto,sostantivo
antipatico,aggettivo
anziano/a,aggettivo - sostantivo
aperitivo,sostantivo
appartamento,sostantivo
appassionato,aggettivo
appena,avverbio
appetito,sostantivo
appuntamento,sostantivo
appunto,sostantivo
aprile,sostantivo
aprire,verbo transitivo
arancia,sostantivo
arancione,aggettivo
argento,sostantivo
aria,sostantivo
armadio,sostantivo
arrabbiarsi,verbo intransitivo pronominale
arrivare,verbo intransitivo
arrivederci,interiezione
arrivo,sostantivo
arrosto,sostantivo
arte,sostantivo
articolo,sostantivo
ascensore,sostantivo
asciugamano,sostantivo
asciugare/si,verbo transitivo - verbo riflessivo - verbo transitivo pronominale
ascoltare,verbo transitivo
asilo,sostantivo
aspettare,verbo transitivo
aspro,aggettivo
assegno,sostantivo
assolutamente,avverbio
attendere,verbo transitivo
attentamente,avverbio
attento,aggettivo
attenzione,sostantivo
attesa,sostantivo
attore/trice,sostantivo
attraversare,verbo transitivo
augurio,sostantivo
aula,sostantivo
auto(mobile),sostantivo
autobus,sostantivo
autostrada,sostantivo
autunno,sostantivo
avanti,avverbio
avaro,aggettivo
avere,verbo transitivo
avverbio,sostantivo
azzurro,aggettivo
baciare,verbo transitivo
bacio,sostantivo
baffo,sostantivo
bagaglio,sostantivo
bagnare/si,verbo transitivo - verbo riflessivo
bagno,sostantivo
balcone,sostantivo
ballare,verbo intransitivo
bambino/a,sostantivo
bambola,sostantivo
banana,sostantivo
banca,sostantivo
banco,sostantivo
bancomat,sostantivo
banconota,sostantivo
bar,sostantivo
barba,sostantivo
barca,sostantivo
basso,aggettivo
basta,interiezione
beh,interiezione
bello,aggettivo
bene,avverbio
benvenuto,aggettivo
benzina,sostantivo
bere,verbo transitivo
bianco,aggettivo
bibita,sostantivo
biblioteca,sostantivo
bicchiere,sostantivo
bicicletta,sostantivo
biglietteria,sostantivo
biglietto,sostantivo
bilancia,sostantivo
bilocale,sostantivo
binario,sostantivo
biondo,aggettivo
birra,sostantivo
bisognare,verbo intransitivo
bisogno,sostantivo
bistecca,sostantivo
blu,aggettivo
bocca,sostantivo
bocciare,verbo transitivo
bollente,aggettivo
bollire,verbo intransitivo
borsa,sostantivo
bosco,sostantivo
bottiglia,sostantivo
braccio,sostantivo
breve,aggettivo
bruciarsi,verbo transitivo pronominale
brutto,aggettivo
buio,sostantivo
buonanotte,interiezione
buonasera,interiezione
buongiorno,interiezione
buono,aggettivo
burro,sostantivo
busta,sostantivo
buttare,verbo transitivo
cadere,verbo intransitivo
caffè,sostantivo
calcio,sostantivo
caldo,aggettivo - sostantivo
calma,sostantivo
calmarsi,verbo intransitivo pronominale
calmo,aggettivo
calza,sostantivo
cambiare,verbo transitivo - verbo intransitivo
camera,sostantivo
cameriere/a,sostantivo
camicia,sostantivo
camion,sostantivo
camminare,verbo intransitivo
campagna,sostantivo
campeggio,sostantivo
camper,sostantivo
campo,sostantivo
canale,sostantivo
cane,sostantivo
canguro,sostantivo
cantante,sostantivo
cantare,verbo transitivo
cantina,sostantivo
canzone,sostantivo
capace,aggettivo
capello,sostantivo
capire,verbo transitivo
capo,sostantivo
capodanno,sostantivo
cappello,sostantivo
cappotto,sostantivo
cappuccino,sostantivo
caricare,verbo transitivo
carne,sostantivo
carnevale,sostantivo
caro,aggettivo
carota,sostantivo
carta,sostantivo
cartolina,sostantivo
cartone,sostantivo
casa,sostantivo
casalingo/a,sostantivo
cassa,sostantivo
cassettiera,sostantivo
castano,aggettivo
cattivo,aggettivo
causa,sostantivo
cavallo,sostantivo
cd,sostantivo
cellulare,sostantivo
cena,sostantivo
cenare,verbo intransitivo
centimetro,sostantivo
centro,sostantivo
cercare,verbo transitivo
cerotto,sostantivo
certamente,avverbio
cervello,sostantivo
che,pronome - congiunzione
check-in,sostantivo
chi,pronome
chiacchierare,verbo intransitivo
chiamare/si,verbo transitivo - verbo intransitivo pronominale
chiaro,aggettivo
chiave,sostantivo
chiedere,verbo transitivo
chiesa,sostantivo
chilo,sostantivo
chilometro,sostantivo
chiudere,verbo transitivo
ci,particella pronominale - pronome
ciao,interiezione
cibo,sostantivo
cielo,sostantivo
cimitero,sostantivo
cin cin,interiezione
cinema,sostantivo
cioccolato,sostantivo
cioè,congiunzione
cipolla,sostantivo
circa,avverbio
città,sostantivo
classe,sostantivo
classico,aggettivo
cliccare,verbo transitivo
cliente,sostantivo
clima,sostantivo
clinica,sostantivo
cognato/a,sostantivo
cognome,sostantivo
coincidenza,sostantivo
colazione,sostantivo
collana,sostantivo
collega,sostantivo
collegio,sostantivo
collezionare,verbo transitivo
collezione,sostantivo
collina,sostantivo
colloquio,sostantivo
colorare,verbo transitivo
colore,sostantivo
colpa,sostantivo
coltello,sostantivo
come,avverbio
cominciare,verbo transitivo - verbo intransitivo
commedia,sostantivo
commesso/a,sostantivo
comodino,sostantivo
comodo,aggettivo
compagnia,sostantivo
compagno/a,sostantivo
compilare,verbo transitivo
compito,sostantivo
compleanno,sostantivo
complemento,sostantivo
completo,aggettivo
complicare,verbo transitivo
complimento,sostantivo
comportarsi,verbo intransitivo pronominale
comprare,verbo transitivo
computer,sostantivo
Comune,sostantivo
comunicare,verbo transitivo
comunicazione,sostantivo
comunque,congiunzione
con,preposizione
concerto,sostantivo
concorso,sostantivo
condizionare,verbo transitivo
condoglianza,sostantivo
condominio,sostantivo
confine,sostantivo
confuso,aggettivo
congratulazione,sostantivo
connettersi,verbo riflessivo
conoscenza,sostantivo
conoscere,verbo transitivo
consegnare,verbo transitivo
consigliare,verbo transitivo
consiglio,sostantivo
consolato,sostantivo
contante,sostantivo
contattare,verbo transitivo
contemporaneo,aggettivo
contento,aggettivo
continuare,verbo transitivo
conto,sostantivo
contorno,sostantivo
conversazione,sostantivo
coperta,sostantivo
copia,sostantivo
coppia,sostantivo
coraggio,interiezione
cordiale,aggettivo
cordialmente,avverbio
corpo,sostantivo
correggere,verbo transitivo
corrente,aggettivo
correre,verbo intransitivo
corso,sostantivo
corto,aggettivo
cosa,sostantivo
così,avverbio
costare,verbo transitivo
costo,sostantivo
costoso,aggettivo
costruire,verbo transitivo
costruzione,sostantivo
cotone,sostantivo
credere,verbo transitivo
credito,sostantivo
crema,sostantivo
crepare,verbo intransitivo
crociera,sostantivo
crudo,aggettivo
cucchiaio,sostantivo
cucina,sostantivo
cucinare,verbo transitivo
cugino/a,sostantivo
cui,pronome
cultura,sostantivo
cuocere,verbo transitivo
cuore,sostantivo
curioso,aggettivo
curriculum vitae,loc.sost.m.
cuscino,sostantivo
da,preposizione
dappertutto,avverbio
dare,verbo transitivo
data,sostantivo
davanti,avverbio - preposizione
davvero,avverbio
debole,aggettivo
decidere,verbo transitivo
denaro,sostantivo
dente,sostantivo
dentifricio,sostantivo
dentista,sostantivo
dentro,avverbio - preposizione
deprimere,verbo transitivo
descrivere,verbo transitivo
destra,sostantivo
dettato,sostantivo
di,preposizione
dialetto,sostantivo
dialogo,sostantivo
diario,sostantivo
dicembre,sostantivo
dieta,sostantivo
dietro,avv.- prep.
differente,aggettivo
difficile,aggettivo
dimenticare/si,verbo transitivo - verbo intransitivo pronominale
dipendere,verbo intransitivo
dipingere,verbo transitivo
dipinto,sostantivo
diploma,sostantivo
diplomarsi,verbo intransitivo pronominale
dire,verbo transitivo
direttamente,avverbio
direttore/trice,sostantivo
direzione,sostantivo
discesa,sostantivo
discoteca,sostantivo
disegnare,verbo transitivo
disoccupato/a,aggettivo - sostantivo
dispensa,sostantivo
disperare,v.int
dispiacere,verbo intransitivo
distinto,aggettivo
distributore,sostantivo
dito,sostantivo
ditta,sostantivo
divano,sostantivo
diventare,verbo intransitivo
diverso,aggettivo
divertente,aggettivo
divertimento,sostantivo
divertirsi,verbo riflessivo
divorziare,verbo intransitivo
dizionario,sostantivo
doccia,sostantivo
documentario,sostantivo
documento,sostantivo
dogana,sostantivo
dolce,aggettivo - sostantivo
dolore,sostantivo
domanda,sostantivo
domandare,verbo transitivo
domani,avverbio
domenica,sostantivo
donna,sostantivo
dopo,avv. - prep
dopodomani,avverbio
doppio,aggettivo
dormire,verbo intransitivo
dottore/ssa,sostantivo
dove,avverbio
