italian_original,italian,function,english
uomo,l'uomo,sostantivo,man
estero,l'estero,sostantivo,abroad
vestirsi,vestirsi,verbo riflessivo,to get dressed
secolo,il secolo,sostantivo,century
futuro,il futuro,sostantivo,future
trovare/si,trovare/si,v.t.  - v.int. pron.,to be located
dire,dire,verbo transitivo,to say
nero,nero/a/i/e,aggettivo,black
fastidio,il fastidio,sostantivo,annoyance
motore,il motore,sostantivo,engine
precedenza,la precedenza,sostantivo,priority
pipa,la pipa,sostantivo,pipe
specchio,lo specchio,sostantivo,mirror
coppia,la coppia,sostantivo,pair
azione,l'azione,sostantivo,action
chilometro,il chilometro,sostantivo,kilometer
crociera,la crociera,sostantivo,cruise
livello,il livello,sostantivo,level
proteggere,proteggere,verbo transitivo,to protect
pioggia,la pioggia,sostantivo,rain
fiammifero,il fiammifero,sostantivo,match
tribunale,il tribunale,sostantivo,court
ridere,ridere,verbo intransitivo,to laugh
sbagliare/si,sbagliare,v.t. - v.int. - v.int. pron.,to make a mistake
associazione,l'associazione,sostantivo,association
salsa,la salsa,sostantivo,sauce
repubblica,la repubblica,sostantivo,republic
libertà,la libertà,sostantivo,freedom
stressare,stressare,verbo transitivo,to stress
considerare,considerare,verbo transitivo,to consider
continuamente,continuamente,avverbio,continuously
introverso,introverso/a/i/e,aggettivo,introverted
minuto,il minuto,sostantivo,minute
vaglia,il vaglia,sostantivo,money order
venire,venire,verbo intransitivo,to come
sera,la sera,sostantivo,evening
accadere,accadere,verbo intransitivo,happen
poesia,la poesia,sostantivo,poetry
separare/si,separare,v.t. – v.rifl. recip.,to separate
data,i dati,sostantivo,data
persona,la persona,sostantivo,person
quale,quale/quali,pronome - aggettivo,which
bottiglia,la bottiglia,sostantivo,bottle
internet,l'internet,sostantivo,internet
scoprire,scoprire,verbo transitivo,to discover
forma,la forma,sostantivo,shape
ricevuta,la ricevuta,sostantivo,receipt
direttamente,direttamente,avverbio,directly
diario,il diario,sostantivo,diary
mezzogiorno,il mezzogiorno,sostantivo,noon
vedere/si,vedere,v.t. - v. rifl. recip.,to see
comunque,comunque,cong. - avv.,anyway
naturale,naturale/i,aggettivo,natural
giacca,la giacca,sostantivo,jacket
generalmente,generalmente,avverbio,generally
diplomarsi,diplomarsi,verbo intransitivo pronominale,to graduate
evidente,evidente/i,aggettivo,evident
