italian,function
a,preposizione
abitare,verbo intransitivo
aceto,sostantivo
acqua,sostantivo
adesso,avverbio
aereo(aeroplano),sostantivo
aeroporto,sostantivo
affetto,sostantivo
agenzia,sostantivo
agosto,sostantivo
aiuto,interiezione
albergo,sostantivo
albero,sostantivo
alfabeto,sostantivo
alto,aggettivo
amare,verbo transitivo
ambasciata,sostantivo
amico/a,sostantivo
amore,sostantivo
anche,congiunzione
andare,verbo intransitivo
animale,sostantivo
anno,sostantivo
appartamento,sostantivo
appuntamento,sostantivo
aprile,sostantivo
aprire,verbo transitivo
arrivare,verbo intransitivo
arrivederci,interiezione
arte,sostantivo
ascoltare,verbo transitivo
aspettare,verbo transitivo
attento,aggettivo
attenzione,sostantivo
augurio,sostantivo
autobus,sostantivo
autunno,sostantivo
avanti,avverbio
avere,verbo transitivo
bacio,sostantivo
bagno,sostantivo
ballare,verbo intransitivo
bambino/a,sostantivo
banca,sostantivo
bar,sostantivo
bello,aggettivo
bene,avverbio
bere,verbo transitivo
bianco,aggettivo
bicchiere,sostantivo
bici(cletta),sostantivo
biglietto,sostantivo
biondo,aggettivo
birra,sostantivo
blu,aggettivo
borsa,sostantivo
bottiglia,sostantivo
bravo,aggettivo - interiezione
buonanotte,interiezione
buonasera,interiezione
buongiorno,interiezione
buono,aggettivo
busta,sostantivo
caffè,sostantivo
caldo,aggettivo
calza,sostantivo
cambiare,verbo transitivo
camera,sostantivo
cameriere/a,sostantivo
camicia,sostantivo
campagna,sostantivo
cane,sostantivo
cantare,verbo transitivo
canzone,sostantivo
capello,sostantivo
capire,verbo transitivo
cappotto,sostantivo
cappuccino,sostantivo
carne,sostantivo
caro,aggettivo
carta,sostantivo
cartolina,sostantivo
casa,sostantivo
castano,aggettivo
cd,sostantivo
cellulare,sostantivo
cena,sostantivo
cenare,verbo intransitivo
centro,sostantivo
cercare,verbo transitivo
certo,avverbio
che,pronome
check-in,sostantivo
chi,pronome
chiamare/si,verbo transitivo - verbo intransitivo pronominale
chiave,sostantivo
chiesa,sostantivo
chiudere,verbo transitivo
ci,part. pron. luogo
ciao,interiezione
cibo,sostantivo
cin cin,interiezione
cinema,sostantivo
città,sostantivo
classe,sostantivo
cognome,sostantivo
colazione,sostantivo
colore,sostantivo
coltello,sostantivo
come,avverbio
cominciare,verbo intransitivo
compagno/a,sostantivo
compleanno,sostantivo
comprare,verbo transitivo
computer,sostantivo
con,preposizione
consolato,sostantivo
conto,sostantivo
corso,sostantivo
corto,aggettivo
cosa,sostantivo
costare,verbo transitivo
credito,sostantivo
cucchiaio,sostantivo
cucina,sostantivo
dare,verbo transitivo
data,sostantivo
davanti,avverbio
dentro,avverbio
destra,sostantivo
di,preposizione
dicembre,sostantivo
dietro,avverbio
difficile,aggettivo
dire,verbo transitivo
doccia,sostantivo
documento,sostantivo
domanda,sostantivo
domandare,verbo transitivo
domani,avverbio
domenica,sostantivo
donna,sostantivo
dopo,avverbio
doppio,aggettivo
dormire,verbo intransitivo
dottore/ssa,sostantivo
dove,avverbio
dovere,verbo intransitivo
e,congiunzione
e-mail,sostantivo
entrare,verbo intransitivo
esercizio,sostantivo
essere,verbo intransitivo
estate,sostantivo
estero,sostantivo
euro,sostantivo
fabbrica,sostantivo
facile,aggettivo
falso,aggettivo
fame,sostantivo
famiglia,sostantivo
fare,verbo transitivo
farmacia,sostantivo
favore,sostantivo
fax,sostantivo
febbraio,sostantivo
felice,aggettivo
femmina,sostantivo
fermata,sostantivo
festa,sostantivo
figlio/a,sostantivo
film,sostantivo
finestra,sostantivo
finire,verbo intransitivo
fiore,sostantivo
forchetta,sostantivo
fotografia,sostantivo
francobollo,sostantivo
fratello,sostantivo
freddo,aggettivo
frutta,sostantivo
fumare,verbo transitivo
fuori,avverbio
gatto,sostantivo
gennaio,sostantivo
gentile,aggettivo
giacca,sostantivo
giallo,aggettivo
giardino,sostantivo
giocare,verbo intransitivo
giornale,sostantivo
giornata,sostantivo
giorno,sostantivo
giovane,aggettivo
giovedì,sostantivo
giù,avverbio
gli,articolo
gonna,sostantivo
grande,aggettivo
grazie,interiezione
guardare,verbo transitivo
hobby,sostantivo
hotel,sostantivo
i,articolo
ieri,avverbio
il,articolo
imparare,verbo transitivo
importante,aggettivo
in,preposizione
incontrare,verbo transitivo
indietro,avverbio
indirizzo,sostantivo
industria,sostantivo
informazione,sostantivo
insegnante,s.m – s.f.
insegnare,verbo transitivo
intelligente,aggettivo
interessante,aggettivo
internazionale,aggettivo
internet,sostantivo
inverno,sostantivo
io,pronome
italiano,sostantivo
la,articolo
là,avverbio
lago,sostantivo
largo,aggettivo
latte,sostantivo
lavorare,verbo intransitivo
lavoro,sostantivo
le,articolo
leggere,verbo transitivo
lei,pronome
lettera,sostantivo
letto,sostantivo
lezione,sostantivo
lì,avverbio
libro,sostantivo
lingua,sostantivo
lo,articolo
lontano,avverbio
loro,pronome
luglio,sostantivo
lui,pronome
lunedì,sostantivo
lungo,aggettivo
macchina,sostantivo
madre,sostantivo
maggio,sostantivo
maglietta,sostantivo
maglione,sostantivo
magro,aggettivo
mai,avverbio
malato,aggettivo
male,avverbio
mamma,sostantivo
mangiare,verbo transitivo
mare,sostantivo
marito,sostantivo
martedì,sostantivo
marzo,sostantivo
maschio,sostantivo
matita,sostantivo
mattina,sostantivo
me,pronome
medicina,sostantivo
meno,avverbio
menù,sostantivo
mercato,sostantivo
mercoledì,sostantivo
mese,sostantivo
metà,sostantivo
mettere,verbo transitivo
mezzanotte,sostantivo
mezzo,aggettivo
mezzogiorno,sostantivo
mi,pronome
minuto,sostantivo
mio,aggettivo
moglie,sostantivo
molto,aggettivo - avverbio
momento,sostantivo
montagna,sostantivo
morire,verbo intransitivo
moto(cicletta),sostantivo
museo,sostantivo
musica,sostantivo
nascere,verbo intransitivo
Natale,sostantivo
nazionalità,sostantivo
nazione,sostantivo
negozio,sostantivo
nero,aggettivo
nessuno,pronome
niente,pron. - avv.
no,avverbio
noi,pronome
nome,sostantivo
non,avverbio
nonno/a,sostantivo
notte,sostantivo
novembre,sostantivo
numero,sostantivo
nuovo,aggettivo
o,congiunzione
occhiale,sostantivo
oggi,avverbio
olio,sostantivo
ombrello,sostantivo
ora,sostantivo - avverbio
orologio,sostantivo
ospedale,sostantivo
ottobre,sostantivo
pacco,sostantivo
padre,sostantivo
pagare,verbo transitivo
pane,sostantivo
pantalone,sostantivo
papà,sostantivo
parcheggio,sostantivo
parco,sostantivo
parlare,verbo transitivo - verbo intransitivo
parola,sostantivo
partire,verbo intransitivo
Pasqua,sostantivo
passaporto,sostantivo
pasta,sostantivo
penna,sostantivo
pepe,sostantivo
per,preposizione
perché,avv. - cong.
pesce,sostantivo
piacere,v.int. - s.m.
piano,avv.  – s.m.
pianta,sostantivo
piatto,sostantivo
piazza,sostantivo
piccolo,aggettivo
piovere,verbo intransitivo
più,avverbio
pizza,sostantivo
pizzeria,sostantivo
poco,po’
polizia,sostantivo
pomeriggio,sostantivo
pomodoro,sostantivo
porta,sostantivo
portare,verbo transitivo
posta,sostantivo
posto,sostantivo
potere,verbo intransitivo
pranzare,v.int
pranzo,sostantivo
prego,interiezione
prendere,verbo transitivo
prenotare,verbo transitivo
presto,avverbio
prezzo,sostantivo
primavera,sostantivo
professore/ssa,sostantivo
pulire,verbo transitivo
qua,avverbio
quaderno,sostantivo
quadro,sostantivo
quale,pronome
quando,avverbio
quanto,agg. – pron. – avv.
quarto,sostantivo
quasi,avverbio
quello,agg. – pron.
questo,agg. – pron.
qui,avverbio
radio,sostantivo
ragazzo/a,sostantivo
ricco,aggettivo
ripetere,verbo transitivo
riso,sostantivo
rispondere,verbo intransitivo
risposta,sostantivo
ristorante,sostantivo
ritornare,verbo intransitivo
rosso,aggettivo
sabato,sostantivo
sale,sostantivo
salute,interiezione
saluto,sostantivo
sapere,verbo transitivo
scarpa,sostantivo
scrivere,verbo transitivo
scuola,sostantivo
scusare,verbo transitivo
secondo,sostantivo
sedia,sostantivo
segreteria,sostantivo
sempre,avverbio
senza,prep.- avv.
sera,sostantivo
sete,sostantivo
settembre,sostantivo
settimana,sostantivo
si,pronome
sì,avverbio
sigaretta,sostantivo
significare,verbo transitivo
signore/a,sostantivo
simpatico,aggettivo
singolo,aggettivo
sinistra,sostantivo
soggiorno,sostantivo
soldo,sostantivo
sole,sostantivo
sonno,sostantivo
sopra,avverbio
sorella,sostantivo
sotto,avverbio
spaghetto,sostantivo
spedire,verbo transitivo
spesa,sostantivo
spesso,avverbio
spiaggia,sostantivo
sporco,aggettivo
sport,sostantivo
sposare,verbo transitivo
stanco,aggettivo
stare,verbo intransitivo
stazione,sostantivo
stop,sostantivo
strada,sostantivo
straniero,aggettivo
stretto,aggettivo
studente/ssa,sostantivo
studiare,verbo transitivo
su,avverbio
suonare,verbo transitivo
supermercato,sostantivo
svegliarsi,verbo intransitivo pronominale
tanto,agg. – avv.
tardi,avverbio
tavolo,sostantivo
taxi,sostantivo
te,pronome
tè,sostantivo
teatro,sostantivo
telefonare,verbo intransitivo
telefono,sostantivo
televisione,sostantivo
ti,pronome
tornare,verbo intransitivo
treno,sostantivo
triste,aggettivo
troppo,agg. – avv.
trovare,verbo transitivo
tu,pronome
tuo,aggettivo
turista,sostantivo
tutto,aggettivo
tv,s.f
ufficio,sostantivo
un/o/a,articolo
università,sostantivo
uomo,sostantivo
uovo,sostantivo
uscire,verbo intransitivo
vacanza,sostantivo
valigia,sostantivo
vecchio,aggettivo
vedersi,v. rifl. recip.
venerdì,sostantivo
venire,verbo intransitivo
verde,aggettivo
verdura,sostantivo
vero,aggettivo
vestito,sostantivo
via,sostantivo
viaggiare,verbo intransitivo
viaggio,sostantivo
vicino,avverbio
vino,sostantivo
visitare,verbo transitivo
visto,sostantivo
vivere,verbo intransitivo
voi,pronome
volere,verbo intransitivo
zaino,sostantivo
zucchero,sostantivo
