italian_original,italian,function,english
guida,la guida,sostantivo,guide
fine,la fine,sostantivo,end
naso,il naso,sostantivo,nose
credere,credere,verbo transitivo,believe
chiamare/si,chiamare,verbo transitivo - verbo intransitivo pronominale,to call
noioso,noioso/a/i/e,aggettivo,boring
stare,stare,verbo intransitivo,to stay
teatro,il teatro,sostantivo,theater
muro,il muro,sostantivo,wall
affitto,l'affitto,sostantivo,rent
banca,la banca,sostantivo,bank
forte,forte/i,aggettivo,strong
problema,il problema,sostantivo,problem
strada,la strada,sostantivo,road
basso,basso/a/i/e,aggettivo,short
finestra,la finestra,sostantivo,window
vasca,la vasca,sostantivo,bathtub
bicicletta,la bicicletta,sostantivo,bicycle
buongiorno,buongiorno,interiezione,good morning
organizzare,organizzare,verbo transitivo,to organize
sposare/si,sposare/si,v.t. – v. rifl. recip.,to marry
stadio,lo stadio,sostantivo,stadium
nuovo,nuovo/a/i/e,aggettivo,new
scuro,scuro/a/i/e,aggettivo,dark
fiammifero,il fiammifero,sostantivo,match
pesante,pesante/i,aggettivo,heavy
andare,andare,verbo intransitivo,to go
impermeabile,l'impermeabile,sostantivo,raincoat
marzo,il marzo,sostantivo,March
mangiare,mangiare,verbo transitivo,to eat
tetto,il tetto,sostantivo,roof
correggere,correggere,verbo transitivo,to correct
fiore,il fiore,sostantivo,flower
soggiorno,il soggiorno,sostantivo,living room
internazionale,internazionale/i,aggettivo,international
zaino,lo zaino,sostantivo,backpack
in,in,preposizione,in
nazione,la nazione,sostantivo,nation
girare,girare,verbo intransitivo,to turn
povero,povero/a/i/e,aggettivo,poor
zio/a,lo zio,sostantivo,uncle
marito,il marito,sostantivo,husband
qualche,qualche,aggettivo,some
stamattina,stamattina,avverbio,this morning
soffitto,il soffitto,sostantivo,ceiling
buonasera,buonasera,interiezione,good evening
forchetta,la forchetta,sostantivo,fork
nostalgia,la nostalgia,sostantivo,nostalgia
moglie,la moglie,sostantivo,wife
scarpa,la scarpa,sostantivo,shoe
pane,il pane,sostantivo,bread
invitare,invitare,verbo transitivo,to invite
mi,mi,pronome,me
antico,antico/a/chi/che,aggettivo,ancient
tasca,la tasca,sostantivo,pocket
arrivo,l'arrivo,sostantivo,arrival
salame,il salame,sostantivo,salami
soccorso,il soccorso,sostantivo,help
pranzo,il pranzo,sostantivo,lunch
piano,piano,avv. - s.m.,slowly
bicchiere,il bicchiere,sostantivo,glass
mare,il mare,sostantivo,sea
ristorante,il ristorante,sostantivo,restaurant
cappotto,il cappotto,sostantivo,coat
motorino,il motorino,sostantivo,moped
passaporto,il passaporto,sostantivo,passport
tagliare,tagliare,verbo transitivo,to cut
messaggio,il messaggio,sostantivo,message
salotto,il salotto,sostantivo,living room
burro,il burro,sostantivo,butter
giornale,il giornale,sostantivo,newspaper
francobollo,il francobollo,sostantivo,stamp
